MoSold,YrSold,GDP Growth
1,2006,5.4
2,2006,5.4
3,2006,5.4
4,2006,0.9
5,2006,0.9
6,2006,0.9
7,2006,0.6
8,2006,0.6
9,2006,0.6
10,2006,3.5
11,2006,3.5
12,2006,3.5
1,2007,0.9
2,2007,0.9
3,2007,0.9
4,2007,2.3
5,2007,2.3
6,2007,2.3
7,2007,2.2
8,2007,2.2
9,2007,2.2
10,2007,2.5
11,2007,2.5
12,2007,2.5
1,2008,-2.3
2,2008,-2.3
3,2008,-2.3
4,2008,2.1
5,2008,2.1
6,2008,2.1
7,2008,-2.1
8,2008,-2.1
9,2008,-2.1
10,2008,-8.4
11,2008,-8.4
12,2008,-8.4
1,2009,-4.4
2,2009,-4.4
3,2009,-4.4
4,2009,-0.6
5,2009,-0.6
6,2009,-0.6
7,2009,1.5
8,2009,1.5
9,2009,1.5
10,2009,4.5
11,2009,4.5
12,2009,4.5
1,2010,1.5
2,2010,1.5
3,2010,1.5
4,2010,3.7
5,2010,3.7
6,2010,3.7
7,2010,3
8,2010,3
9,2010,3
10,2010,2
11,2010,2
12,2010,2
